Basin,Operator,01/03/2022,01/12/2022,11/22/2021,12/14/2021,12/20/2021,12/27/2021,All
Haynesville,WEISER-BROWN OPERATING COMPANY,1.0,,,,,1.0,2
Michigan,MUSKEGON OPERATING COMPANY LLC,1.0,1.0,,,1.0,1.0,4
Michigan,NU ENERGY OPERATING INC,,,,1.0,,,1
Michigan,WEST BAY EXPLORATION CO,,,,1.0,1.0,1.0,3
Michigan,WEST BAY EXPLORATION COMPANY,,1.0,,,,,1
Michigan,WOLVERINE GAS AND OIL COMPANY OF MICHIGAN LLC,,,1.0,,,,1
Mississippi,"ALPINE GAS OPERATOR, LLC",,,1.0,1.0,,,2
Mississippi,"GEOTERRE OPERATING, LLC",1.0,1.0,,,,,2
Mississippi,"STATE LINE EXPLORATION, LLC",,,1.0,1.0,1.0,1.0,4
Mississippi,"T.O. KIMBRELL, LLC",,,1.0,,,,1
Mississippi,VENTURE OIL & GAS INC,2.0,1.0,,1.0,2.0,2.0,8
Mississippi,"VENTURE OIL & GAS, INC.",,,1.0,2.0,1.0,1.0,5
North Slope,CONOCOPHILLIPS ALASKA INC,2.0,2.0,3.0,2.0,3.0,2.0,14
North Slope,CONOCOPHILLIPS ALASKA INC.,,,1.0,1.0,,,2
Northeast,"REPSOL OIL & GAS USA, LLC",2.0,2.0,1.0,1.0,1.0,1.0,8
Northeast,HILCORP ENERGY COMPANY,1.0,1.0,1.0,1.0,1.0,1.0,6
Northeast,ANTERO RESOURCES  CORPORATION,,,1.0,1.0,,,2
Northeast,ANTERO RESOURCES CORPORATION,4.0,4.0,3.0,3.0,4.0,4.0,22
Northeast,"ARD OPERATING, LLC",,,1.0,,,,1
Northeast,ARSENAL RESOURCES LLC,,,1.0,1.0,1.0,1.0,4
Northeast,ASCENT RESOURCES UTICA LLC,3.0,2.0,2.0,3.0,3.0,3.0,16
Northeast,"ASCENT RESOURCES UTICA, LLC",,2.0,2.0,1.0,1.0,,6
Northeast,CABOT OIL & GAS CORP,2.0,2.0,2.0,2.0,2.0,2.0,12
Northeast,CHESAPEAKE APPALACHIA LLC,3.0,3.0,4.0,3.0,3.0,3.0,19
Northeast,CHIEF OIL & GAS LLC,2.0,2.0,1.0,1.0,2.0,2.0,10
Northeast,CNX GAS CO LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Northeast,"CNX GAS COMPANY, LLC",1.0,1.0,,1.0,1.0,1.0,5
Northeast,DIMES ENERGY GP INC.,,1.0,1.0,1.0,,1.0,4
Northeast,EAP OHIO LLC,2.0,1.0,3.0,1.0,1.0,1.0,9
Northeast,"EAP OHIO, LLC",1.0,2.0,,2.0,2.0,2.0,9
Northeast,"EOG RESOURCES, INC",,,,1.0,,,1
Northeast,EQT ARO LLC,1.0,1.0,,,,,2
Northeast,EQT PRODUCTION COMPANY,3.0,3.0,3.0,3.0,3.0,3.0,18
Northeast,FORTUNA ENERGY INC,,,1.0,1.0,1.0,1.0,4
Northeast,GREYLOCK PRODUCTION LLC,1.0,1.0,,1.0,1.0,1.0,5
Northeast,GULFPORT APPALACHIA LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Northeast,"GULFPORT APPALACHIA, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Northeast,"HG ENERGY II APPALACHIA, LLC",3.0,3.0,2.0,2.0,2.0,3.0,15
Northeast,"JAY-BEE OIL & GAS, INC.",1.0,1.0,,1.0,1.0,1.0,5
Northeast,LAUREL MOUNTAIN PRODUCTION,1.0,1.0,,,,,2
Northeast,NORTHEAST NATURAL ENERGY LLC,,1.0,1.0,,,,2
Northeast,PENNENERGY RESOURCES LLC,,1.0,,,,,1
Northeast,"PENNENERGY RESOURCES, LLC",1.0,,,1.0,1.0,1.0,4
Northeast,RANGE RESOURCES APPALACHIA LLC,2.0,3.0,2.0,2.0,2.0,2.0,13
Northeast,RICE DRILLING B LLC,,,1.0,1.0,1.0,,3
Northeast,SENECA RESOURCES COMPANY LLC,,,2.0,1.0,,,3
Northeast,SENECA RESOURCES CORP,1.0,2.0,1.0,2.0,2.0,2.0,10
Northeast,SENECA RESOURCES CORPORATION,1.0,1.0,,,1.0,1.0,4
Northeast,SNYDER BROS INC,1.0,1.0,1.0,1.0,1.0,1.0,6
Northeast,"SWN PRODUCTION COMPANY, LLC",1.0,4.0,2.0,3.0,4.0,3.0,17
Northeast,"TRIBUNE RESOURCES, LLC",2.0,2.0,,,,,4
Northeast,"TUG HILL OPERATING, LLC",5.0,4.0,5.0,5.0,5.0,5.0,29
Offshore,WALTER OIL & GAS CORPORATION,1.0,1.0,1.0,2.0,1.0,1.0,7
Offshore,HILCORP ENERGY COMPANY,1.0,,,,,1.0,2
Offshore,ANADARKO PETROLEUM CORPORATION,1.0,2.0,1.0,1.0,1.0,1.0,7
Offshore,BHP BILLITON PETROLEUM (DEEPWATER) INC.,1.0,1.0,1.0,1.0,1.0,1.0,6
Offshore,BOE EXPLORATION & PRODUCTION LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Offshore,BP EXPLORATION & PRODUCTION INC.,1.0,1.0,,,,1.0,3
Offshore,"BP EXPLORATION & PRODUCTION, INC",,,1.0,1.0,1.0,,3
Offshore,"BP EXPLORATION & PRODUCTION, INC.",1.0,1.0,1.0,1.0,1.0,1.0,6
Offshore,CHEVRON U.S.A. INC.,3.0,2.0,1.0,3.0,2.0,2.0,13
Offshore,"CHEVRON U.S.A., INC.",,,1.0,,,,1
Offshore,ENI US OPERATING CO. INC.,1.0,1.0,1.0,1.0,1.0,1.0,6
Offshore,"ENVEN ENERGY VENTURES, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Offshore,EQUINOR GULF OF MEXICO LLC,1.0,1.0,,1.0,1.0,1.0,5
Offshore,"EQUINOR GULF OF MEXICO, LLC",,,1.0,,,,1
Offshore,HESS CORPORATION,1.0,1.0,,,1.0,1.0,4
Offshore,"LLOG EXPLORATION OFFSHORE, L.L.C.",1.0,1.0,1.0,1.0,1.0,1.0,6
Offshore,MURPHY EXPLORATION & PRODUCTION COMPANY,1.0,,,1.0,1.0,1.0,4
Offshore,MURPHY EXPLORATION & PRODUCTION COMPANY - USA,1.0,1.0,1.0,1.0,1.0,1.0,6
Offshore,SHELL OFFSHORE INC.,7.0,7.0,5.0,6.0,7.0,7.0,39
Offshore,"SHELL OFFSHORE, INC.",1.0,,1.0,1.0,1.0,1.0,5
Offshore,TALOS PETROLEUM LLC,,1.0,,,,,1
Offshore,"TALOS PETROLEUM, LLC",1.0,,1.0,1.0,1.0,1.0,5
Permian - Delaware,"BLACKBEARD OPERATING, LLC",1.0,1.0,1.0,2.0,2.0,2.0,9
Permian - Delaware,MEWBOURNE OIL COMPANY,2.0,3.0,1.0,2.0,2.0,2.0,12
Permian - Delaware,BPX OPERATING COMPANY,2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Delaware,"EOG RESOURCES, INC.",14.0,13.0,12.0,15.0,15.0,14.0,83
Permian - Delaware,"EOG RESOURCES, INC",,1.0,1.0,,,,2
Permian - Delaware,"ADVANCE ENERGY PARTNERS HAT MESA, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Delaware,"ADVANCE ENERGY PARTNERS, LLC",1.0,1.0,2.0,2.0,2.0,2.0,10
Permian - Delaware,"AMEREDEV OPERATING, LLC",5.0,5.0,4.0,4.0,4.0,4.0,26
Permian - Delaware,ANADARKO E&P ONSHORE LLC,7.0,7.0,8.0,8.0,8.0,8.0,46
Permian - Delaware,APR OPERATING LLC,,,,1.0,,1.0,2
Permian - Delaware,"BTA OIL PRODUCERS, LLC",3.0,2.0,3.0,2.0,3.0,3.0,16
Permian - Delaware,CALLON PETROLEUM OPERATING CO,2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Delaware,"CATENA RESOURCES OPERATING, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Delaware,"CAZA OPERATING, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Delaware,"CENTENNIAL RESOURCE PROD, LLC",1.0,,2.0,1.0,1.0,1.0,6
Permian - Delaware,"CENTENNIAL RESOURCE PRODUCTION, LLC",1.0,1.0,,1.0,1.0,1.0,5
Permian - Delaware,CHEVRON U. S. A. INC.,2.0,1.0,2.0,2.0,2.0,2.0,11
Permian - Delaware,CHEVRON USA INCORPORATED,2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Delaware,"CHISHOLM ENERGY OPERATING, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Delaware,CIMAREX ENERGY CO.,3.0,3.0,3.0,3.0,3.0,3.0,18
Permian - Delaware,CIMAREX ENERGY CO. OF COLORADO,3.0,2.0,2.0,2.0,3.0,3.0,15
Permian - Delaware,COG OPERATING LLC,5.0,5.0,3.0,5.0,5.0,5.0,28
Permian - Delaware,"COLGATE OPERATING, LLC",5.0,5.0,3.0,4.0,4.0,4.0,25
Permian - Delaware,CONOCOPHILLIPS COMPANY,1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Delaware,CPB WATER LLC,,1.0,1.0,1.0,,,3
Permian - Delaware,"DEVON ENERGY PRODUCTION COMPANY, LP",8.0,8.0,7.0,8.0,8.0,8.0,47
Permian - Delaware,DIAMONDBACK E&P LLC,3.0,3.0,3.0,4.0,4.0,3.0,20
Permian - Delaware,EOG RESOURCES INC,3.0,2.0,,1.0,2.0,3.0,11
Permian - Delaware,"FORGE ENERGY OPERATING, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Delaware,FRANKLIN MOUNTAIN ENERGY LLC,3.0,2.0,3.0,3.0,3.0,3.0,17
Permian - Delaware,GREAT WESTERN DRILLING COMPANY,,,,,1.0,1.0,2
Permian - Delaware,"HALCON OPERATING CO., INC.",1.0,1.0,,1.0,1.0,1.0,5
Permian - Delaware,"HUDSPETH OPERATING, LLC",,,1.0,,,,1
Permian - Delaware,KAISER-FRANCIS OIL CO,2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Delaware,"LONGFELLOW ENERGY, LP",,,1.0,,,,1
Permian - Delaware,LUXE OPERATING LLC,,,1.0,,,,1
Permian - Delaware,MATADOR PRODUCTION COMPANY,5.0,5.0,5.0,4.0,3.0,5.0,27
Permian - Delaware,MEWBOURNE OIL CO,12.0,13.0,11.0,12.0,12.0,14.0,74
Permian - Delaware,"MILESTONE ENVIRONMENTAL SERVICES, LLC",,,,,,1.0,1
Permian - Delaware,"NOVO OIL & GAS NORTHERN DELAWARE, LLC",3.0,3.0,1.0,3.0,3.0,3.0,16
Permian - Delaware,"OAK PRAIRIE OPERATIONS, LLC",,,1.0,,,,1
Permian - Delaware,OASIS PETROLEUM PERMIAN LLC,,,2.0,1.0,1.0,1.0,5
Permian - Delaware,OXY USA INCORPORATED,3.0,3.0,2.0,2.0,1.0,2.0,13
Permian - Delaware,"P.O.&G. OPERATING, LLC",,,,1.0,,,1
Permian - Delaware,"PDC PERMIAN, INC.",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Delaware,"PERCUSSION PETROLEUM OPER II,LLC",1.0,2.0,,1.0,1.0,1.0,6
Permian - Delaware,"POINT ENERGY PARTNERS PETRO, LLC",2.0,2.0,3.0,3.0,3.0,3.0,16
Permian - Delaware,"PRI OPERATING, LLC",3.0,3.0,3.0,3.0,3.0,3.0,18
Permian - Delaware,PRIMEXX OPERATING CORPORATION,2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Delaware,RIDGEWAY ARIZONA OIL CORP.,1.0,,,1.0,1.0,1.0,4
Permian - Delaware,"RIO OIL AND GAS (PERMIAN) II,LLC",1.0,,1.0,1.0,1.0,1.0,5
Permian - Delaware,"SADDLEBACK EXPLORATION, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Delaware,"SCALA ENERGY OPERATING, LLC",,,1.0,,,,1
Permian - Delaware,SHELL WESTERN E&P,4.0,4.0,4.0,4.0,4.0,4.0,24
Permian - Delaware,SPUR ENERGY PARTNERS LLC,2.0,1.0,1.0,2.0,2.0,2.0,10
Permian - Delaware,"STATELINE WATER, LLC",1.0,1.0,,1.0,1.0,1.0,5
Permian - Delaware,"STEWARD ENERGY II, LLC",1.0,1.0,,1.0,1.0,1.0,5
Permian - Delaware,TALL CITY OPERATIONS III LLC,2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Delaware,"TAMAROA OPERATING, LLC",1.0,1.0,,,1.0,1.0,4
Permian - Delaware,"TAP ROCK OPERATING, LLC",7.0,7.0,7.0,7.0,7.0,7.0,42
Permian - Delaware,"TITUS OIL & GAS PRODUCTION, LLC",4.0,4.0,2.0,4.0,3.0,4.0,21
Permian - Delaware,"TRIGO OIL AND GAS, LLC",,,1.0,,,,1
Permian - Delaware,"UPCURVE ENERGY, LLC",,1.0,1.0,1.0,1.0,1.0,5
Permian - Delaware,WATERBRIDGE STATELINE LLC,,1.0,,,,,1
Permian - Delaware,WATERBRIDGE TEXAS OPERATING LLC,1.0,,1.0,1.0,1.0,1.0,5
Permian - Delaware,"WPX ENERGY PERMIAN, LLC",5.0,5.0,5.0,5.0,4.0,5.0,29
Permian - Delaware,XTO ENERGY INC.,1.0,1.0,2.0,1.0,1.0,2.0,8
Permian - Delaware,"XTO ENERGY, INC.",1.0,,1.0,1.0,1.0,1.0,5
Permian - Delaware,XTO PERMIAN OPERATING LLC.,2.0,2.0,1.0,2.0,2.0,2.0,11
Permian - Midland,"BLACKBEARD OPERATING, LLC",2.0,2.0,1.0,1.0,1.0,1.0,8
Permian - Midland,SINCLAIR OIL & GAS COMPANY,1.0,1.0,,1.0,1.0,1.0,5
Permian - Midland,"MORIAH OPERATING,LLC",,1.0,,,,,1
Permian - Midland,APACHE CORPORATION,1.0,2.0,2.0,2.0,2.0,1.0,10
Permian - Midland,"CML EXPLORATION, LLC",1.0,1.0,,,,,2
Permian - Midland,SM ENERGY COMPANY,2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Midland,"BTA OIL PRODUCERS, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Midland,CALLON PETROLEUM OPERATING CO,1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Midland,CHEVRON U. S. A. INC.,3.0,3.0,3.0,3.0,3.0,3.0,18
Permian - Midland,COG OPERATING LLC,5.0,4.0,5.0,5.0,5.0,5.0,29
Permian - Midland,DIAMONDBACK E&P LLC,8.0,8.0,7.0,7.0,7.0,8.0,45
Permian - Midland,XTO ENERGY INC.,6.0,6.0,5.0,5.0,5.0,5.0,32
Permian - Midland,"BASIN OIL & GAS OPERATING, LLC",,,1.0,,,,1
Permian - Midland,BAYSWATER OPERATING COMPANY LLC,2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Midland,"BIRCH OPERATIONS, INC.",2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Midland,"BLACK SWAN OPERATING, LLC",1.0,1.0,1.0,1.0,2.0,2.0,8
Permian - Midland,"BURK ROYALTY CO., LTD.",,,,1.0,,,1
Permian - Midland,"BURLESON PETROLEUM, INC.",,,1.0,,,,1
Permian - Midland,"CARR RESOURCES, INC.",1.0,1.0,,1.0,1.0,1.0,5
Permian - Midland,"CGS OPERATING, LLC",1.0,,,1.0,1.0,1.0,4
Permian - Midland,"CHI OPERATING, INC.",,,1.0,,,,1
Permian - Midland,"CROWNQUEST OPERATING, LLC",5.0,6.0,8.0,6.0,6.0,5.0,36
Permian - Midland,"CUTBOW OPERATING, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Midland,DISCOVERY NATURAL RESOURCES LLC,1.0,1.0,2.0,1.0,1.0,1.0,7
Permian - Midland,"DRIFTWOOD ENERGY OPERATING, LLC",1.0,1.0,,1.0,1.0,1.0,5
Permian - Midland,E R OPERATING COMPANY,,,1.0,1.0,,,2
Permian - Midland,"EARTHSTONE OPERATING, LLC",2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Midland,"ELEMENT PETROLEUM OP III, LLC",1.0,1.0,,1.0,1.0,1.0,5
Permian - Midland,ELEVATION RESOURCES LLC,,,,1.0,,,1
Permian - Midland,ENDEAVOR ENERGY RESOURCES L.P.,14.0,13.0,13.0,14.0,14.0,14.0,82
Permian - Midland,ENRICH OIL CORPORATION,1.0,1.0,,,,,2
Permian - Midland,ENVIRONMENTAL DISPOSAL SYSTEMS,,1.0,,,,,1
Permian - Midland,"FASKEN OIL AND RANCH, LTD.",3.0,3.0,2.0,2.0,3.0,3.0,16
Permian - Midland,FIREBIRD ENERGY LLC,2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Midland,FOSSIL PETROLEUM LLC,,,,1.0,,,1
Permian - Midland,"HALVEY ENERGY, LLC",,,,1.0,1.0,1.0,3
Permian - Midland,HENRY RESOURCES LLC,2.0,2.0,2.0,2.0,2.0,2.0,12
Permian - Midland,"HIBERNIA RESOURCES III, LLC",3.0,3.0,2.0,3.0,2.0,3.0,16
Permian - Midland,"HIGHPEAK ENERGY HOLDINGS, LLC",4.0,4.0,4.0,3.0,3.0,3.0,21
Permian - Midland,"ICA ENERGY OPERATING, L.L.C.",,,,1.0,,,1
Permian - Midland,KINDER MORGAN PRODUCTION CO LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Midland,"LAREDO PETROLEUM, INC.",3.0,3.0,2.0,3.0,3.0,3.0,17
Permian - Midland,LARIO OIL & GAS COMPANY,1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Midland,LEGACY RESERVES OPERATING LP,1.0,1.0,,1.0,1.0,1.0,5
Permian - Midland,"MOONTOWER RESOURCES OP, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Midland,"MURCHISON OIL AND GAS, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Midland,OVINTIV USA INC.,3.0,3.0,4.0,4.0,4.0,3.0,21
Permian - Midland,"OXBOW PETROLEUM, LLC",,1.0,,,,,1
Permian - Midland,OXY USA INC.,4.0,4.0,4.0,4.0,4.0,4.0,24
Permian - Midland,"PERMIAN DEEP ROCK OIL CO., LLC",2.0,2.0,2.0,1.0,2.0,2.0,11
Permian - Midland,"PETROLEGACY ENERGY II, LLC",2.0,2.0,3.0,2.0,2.0,2.0,13
Permian - Midland,"PIEDRA OPERATING, LLC",1.0,2.0,3.0,3.0,2.0,2.0,13
Permian - Midland,"PIONEER NATURAL RES. USA, INC.",26.0,23.0,24.0,25.0,25.0,24.0,147
Permian - Midland,"RELIANCE ENERGY, INC.",,,1.0,,,,1
Permian - Midland,"ROGERS, S. K. OIL, INC.",1.0,1.0,,,,1.0,3
Permian - Midland,"RP OPERATING, L.L.C.",1.0,,2.0,1.0,1.0,1.0,6
Permian - Midland,SEM OPERATING COMPANY LLC,2.0,2.0,,2.0,2.0,2.0,10
Permian - Midland,"SILVER CREEK PERMIAN OP CO, LLC",1.0,,,,,,1
Permian - Midland,SILVER OIL & GAS INC.,,,,,1.0,1.0,2
Permian - Midland,SLOAN PETROLEUM INC.,,,1.0,,,,1
Permian - Midland,SMITH ENERGY OPERATING COMPANY,1.0,1.0,,,,,2
Permian - Midland,"SOCORRO EXPLORATION, INC.",,,1.0,,,,1
Permian - Midland,"STRONGHOLD ENERGY II OPER, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Midland,SUMMIT PETROLEUM LLC,2.0,2.0,2.0,1.0,2.0,2.0,11
Permian - Midland,"SURGE OPERATING, LLC",3.0,3.0,2.0,3.0,2.0,3.0,16
Permian - Midland,TALL CITY BRINE LLC,1.0,,,1.0,1.0,1.0,4
Permian - Midland,"THREE SPAN OIL & GAS, INC.",1.0,1.0,1.0,,,1.0,4
Permian - Midland,"TRIPLE CROWN RESOURCES, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
Permian - Midland,TRP OPERATING LLC,2.0,2.0,1.0,1.0,1.0,1.0,8
Permian - Midland,"VENCER ENERGY, LLC",2.0,2.0,2.0,2.0,2.0,2.0,12
Piceance,CAERUS PICEANCE LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Piceance,TEP ROCKY MOUNTAIN LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Powder River,"CONTINENTAL RESOURCES, INC.",,,2.0,,,,2
Powder River,ANADARKO E&P ONSHORE LLC,,,1.0,,,,1
Powder River,EOG RESOURCES INC,2.0,2.0,2.0,1.0,2.0,2.0,11
Powder River,ANADARKO E & P ONSHORE LLC,,1.0,,1.0,,,2
Powder River,ANSCHUTZ EXPLORATION CORPORATION,,,3.0,2.0,1.0,,6
Powder River,ANSCHUTZ OIL COMPANY LLC,3.0,3.0,,1.0,2.0,3.0,12
Powder River,"ANSCHUTZ OIL COMPANY, LLC",1.0,,,,1.0,1.0,3
Powder River,BIG MUDDY OPERATING LLC,,,,1.0,,,1
Powder River,CHESAPEAKE OPERATING LLC,,,1.0,1.0,1.0,1.0,4
Powder River,"CONTINENTAL RESROUCES, INC.",1.0,1.0,,1.0,1.0,1.0,5
Powder River,DAUBE COMPANY THE,,,1.0,,,,1
Powder River,DEVON ENERGY PRODUCTION COMPANY LP,1.0,1.0,1.0,1.0,1.0,1.0,6
Powder River,"MAXIMUS OPERATING, LTD",,,,,1.0,,1
Powder River,NORTHWOODS OPERATING LLC,1.0,,1.0,1.0,1.0,1.0,5
Powder River,PEAK POWDER RIVER RESOURCES LLC,1.0,1.0,1.0,1.0,1.0,1.0,6
Powder River,PETROX RESOURCES INC,,,1.0,,,,1
Powder River,TRANSWORLD SYSTEMS PETROLEUM INC,,,1.0,1.0,1.0,,3
San Juan,"EOG RESOURCES, INC.",1.0,,,1.0,1.0,1.0,4
San Juan,"DJR OPERATING, LLC",1.0,1.0,1.0,,1.0,1.0,5
San Juan,"ENDURING RESOURCES, LLC",1.0,1.0,1.0,1.0,1.0,1.0,6
San Juan,SIMCOE LLC,1.0,1.0,,,,,2
San Juan,"TACITUS, LLC",,,1.0,1.0,1.0,1.0,4
Sedgwick,"CARMEN SCHMITT, INC.",,,,,1.0,1.0,2
Sedgwick,"DARRAH OIL COMPANY, LLC",,1.0,,,1.0,1.0,3
Sedgwick,"L. D. DRILLING, INC.",,,1.0,,,,1
Sedgwick,BLACK DAHLIA OIL & GAS CO.,,,1.0,,,,1
Sedgwick,"BRISCOE PETROLEUM, LLC",,,1.0,,,,1
Sedgwick,"BRUCE OIL COMPANY, L.L.C.",1.0,2.0,,,,,3
Sedgwick,"CHARTER ENERGY, INC.",,,,,1.0,1.0,2
Sedgwick,"CHOLLA PRODUCTION, LLC",1.0,1.0,,,1.0,1.0,4
Sedgwick,"DIXON OPERATING COMPANY, LLC",,,1.0,,,,1
Sedgwick,EDISON OPERATING COMPANY LLC,,,1.0,1.0,,,2
Sedgwick,"EPOC, LLC.",,,1.0,,,,1
Sedgwick,GORE OIL COMPANY,,,1.0,,,,1
Sedgwick,"GRIFFIN, CHARLES N.",1.0,,1.0,1.0,1.0,,4
Sedgwick,"JASON OIL COMPANY, LLC",,,1.0,,,,1
Sedgwick,JORDAN OIL MANAGEMENT INC.,,,,1.0,1.0,1.0,3
Sedgwick,PATTERSON ENERGY LLC,1.0,,,1.0,1.0,1.0,4
Sedgwick,"RANEY OIL COMPANY, LLC",,1.0,,,,,1
Sedgwick,RJM COMPANY,,1.0,,,,,1
Sedgwick,SHELBY RESOURCES LLC,,1.0,,,,,1
Sedgwick,"STEFFEN RESOURCE DEVELOPMENT, LLC",,,,1.0,1.0,,2
Sedgwick,"TDI, INC.",,,1.0,,,,1
Sedgwick,UNION VALLEY PETROLEUM CORPORATION,,1.0,,,,,1
Sedgwick,VINCENT OIL CORPORATION,,,,1.0,1.0,,2
Tuscaloosa,"BRAMMER ENGINEERING, INC.",,1.0,,,,,1
Tuscaloosa,CONTINENTAL RESOURCES INC.,1.0,,,1.0,1.0,1.0,4
Tuscaloosa,"EXCALIBUR OPERATING, LLC",,,,1.0,1.0,,2
Tuscaloosa,FLETCHER PETROLEUM CORP.,1.0,1.0,,,1.0,1.0,4
Tuscaloosa,"NUGULF OPERATING, L.L.C.",,,1.0,,,,1
Tuscaloosa,SOUTHWIND OIL & GAS LLC,,,1.0,1.0,1.0,1.0,4
Uintah,"CH4-FINLEY OPERATING, LLC",1.0,,2.0,2.0,1.0,1.0,7
Uintah,"CH4-FINLEY, LLC",,1.0,,,,,1
Uintah,"EP ENERGY E&P COMPANY, L.P.",,1.0,,,,,1
Uintah,"EP ENERGY E&P COMPANY, LP",2.0,2.0,2.0,2.0,2.0,2.0,12
Uintah,FINLEY RESOURCES INC,1.0,1.0,,,,1.0,3
Uintah,"FINLEY RESOURCES, INC",,,,,1.0,,1
Uintah,"MIDDLE FORK ENERGY UINTA, LLC",2.0,2.0,2.0,2.0,2.0,2.0,12
Uintah,"OVINTIV PRODUCTION, INC.",1.0,1.0,1.0,1.0,1.0,,5
Uintah,"XCL ASSETCO, LLC",2.0,3.0,2.0,2.0,3.0,2.0,14
West Coast,CHEVRON U.S.A. INC.,1.0,1.0,1.0,1.0,1.0,1.0,6
West Coast,"BERRY PETROLEUM COMPANY, LLC",,1.0,3.0,,,,4
West Coast,BRIDGE ENERGY LLC,,,,,1.0,1.0,2
West Coast,"CALIFORNIA RESOURCES ELK HILLS, LLC",1.0,2.0,1.0,2.0,2.0,1.0,9
West Coast,CALIFORNIA RESOURCES PRODUCTION CORPORATION,1.0,1.0,1.0,1.0,1.0,1.0,6
West Coast,"FOOTHILL ENERGY, LLC",,,1.0,,,,1
West Coast,MACPHERSON OIL COMPANY,1.0,,,1.0,1.0,1.0,4
West Coast,SOUTHERN CALIFORNIA GAS COMPANY,1.0,,1.0,1.0,1.0,1.0,5
West Coast,WESTERN OIL EXPLORATION,,,1.0,,,,1
All,,697.0,697.0,668.0,699.0,710.0,706.0,4177
